Data: 2018-5-31
Czas: 13.57.20
$$$ DANE POMIAROWE PROCESU $$$
Wypelnienie PWM: 011
Czas zgrzewania: 011
-
t [ms]; I [A]; U [V]; F [kN]
0.1; 1271; 1015; 991
0.2; 1284; 1033; 1021
0.3; 1258; 1014; 993
0.4; 1284; 974; 1001
0.5; 1263; 1040; 1029
0.6; 1258; 1009; 1037
0.7; 1289; 1039; 1038
0.8; 1257; 995; 1006
0.9; 1255; 1028; 1011
1.0; 1267; 1009; 986
1.1; 1274; 1004; 992
1.2; 1276; 1006; 981
1.3; 1270; 998; 1043
1.4; 1286; 1002; 988
1.5; 1278; 1028; 1026
1.6; 1268; 1000; 981
1.7; 1271; 983; 972
1.8; 1271; 1020; 1018
1.9; 1288; 1015; 1018
2.0; 1266; 1010; 990
2.1; 1280; 992; 968
2.2; 1287; 1020; 1025
2.3; 1286; 998; 990
2.4; 1302; 1010; 1009
2.5; 1289; 1030; 1022
2.6; 1274; 1002; 1034
2.7; 1269; 1037; 1016
2.8; 1292; 988; 985
2.9; 1264; 1000; 1001
3.0; 1269; 986; 981
3.1; 1268; 995; 986
3.2; 1270; 1011; 1030
3.3; 1266; 1039; 986
3.4; 1296; 1039; 1028
3.5; 1287; 1038; 966
3.6; 1284; 1031; 1038
3.7; 1259; 989; 970
3.8; 1257; 993; 987
3.9; 1260; 1004; 997
4.0; 1289; 1019; 1017
4.1; 1284; 1009; 1032
4.2; 1291; 1054; 982
4.3; 1275; 1003; 1013
4.4; 1291; 1007; 1006
4.5; 1291; 1032; 1004
4.6; 1294; 1018; 991
4.7; 1274; 1004; 991
4.8; 1268; 1014; 1007
4.9; 1284; 1013; 1034
5.0; 1267; 1018; 996
5.1; 1267; 1002; 994
5.2; 1275; 1031; 991
5.3; 1270; 1015; 1002
5.4; 1265; 981; 1008
5.5; 1282; 1015; 979
5.6; 1287; 1032; 1026
5.7; 1288; 1022; 1013
5.8; 1285; 999; 1038
5.9; 1258; 986; 1030
6.0; 1294; 1004; 917
6.1; 1279; 1015; 956
6.2; 1251; 1005; 1002
6.3; 1278; 1018; 978
6.4; 1266; 1018; 987
6.5; 1284; 975; 989
6.6; 1266; 988; 980
6.7; 1264; 981; 1002
6.8; 1286; 984; 1031
6.9; 1290; 1046; 1029
7.0; 1277; 1015; 1019
7.1; 1255; 1018; 1013
7.2; 1252; 988; 991
7.3; 1274; 994; 1031
7.4; 1276; 1004; 1029
7.5; 1264; 1020; 995
7.6; 1260; 1016; 1006
7.7; 1267; 975; 1003
7.8; 1267; 990; 1025
7.9; 1289; 988; 976
8.0; 1270; 1019; 977
8.1; 1255; 987; 988
8.2; 1263; 1024; 986
8.3; 1268; 1048; 1008
8.4; 1286; 1020; 1000
8.5; 1289; 1029; 996
8.6; 1258; 971; 998
8.7; 1262; 1015; 1024
8.8; 1281; 988; 995
8.9; 1261; 1015; 975
9.0; 1278; 1011; 1021
9.1; 1261; 1001; 987
9.2; 1269; 1026; 1017
9.3; 1266; 1024; 999
9.4; 1265; 1005; 973
9.5; 1268; 993; 999
9.6; 1283; 990; 997
9.7; 1259; 990; 1002
9.8; 1291; 983; 1031
9.9; 1274; 987; 988
10.0; 1276; 1008; 1003
10.1; 1302; 1020; 1009
10.2; 1262; 1007; 999
10.3; 1292; 993; 1022
10.4; 1256; 1006; 1009
10.5; 1291; 1015; 1006
10.6; 1269; 989; 1012
10.7; 1259; 1010; 995
10.8; 1270; 1016; 1000
10.9; 1274; 1017; 978
11.0; 1285; 1041; 1001
11.1; 1293; 1016; 1016
11.2; 1265; 1019; 991
11.3; 1302; 1033; 1026
11.4; 1281; 1012; 1029
11.5; 1274; 1017; 969
11.6; 1271; 1000; 1019
11.7; 1291; 1005; 1006
11.8; 1292; 1014; 1003
11.9; 1276; 993; 988
12.0; 1277; 1006; 1006
12.1; 1291; 1031; 999
12.2; 1295; 1027; 988
12.3; 1287; 1004; 1000
12.4; 1276; 1016; 997
12.5; 1287; 976; 989
12.6; 1274; 996; 1000
12.7; 1262; 1020; 1017
12.8; 1258; 1030; 1005
12.9; 1271; 995; 971
13.0; 1270; 1005; 990
13.1; 1288; 1034; 998
13.2; 1287; 1021; 1030
13.3; 1271; 992; 992
13.4; 1281; 1037; 988
13.5; 1295; 1045; 1018
13.6; 1260; 1017; 1019
13.7; 1292; 981; 990
13.8; 1275; 991; 1014
13.9; 1293; 1012; 1028
14.0; 1284; 1031; 998
14.1; 1283; 980; 986
14.2; 1295; 1008; 980
14.3; 1275; 985; 1001
14.4; 1269; 1012; 1002
14.5; 1302; 998; 1005
14.6; 1266; 986; 1015
14.7; 1275; 1005; 1016
14.8; 1268; 1021; 998
14.9; 1274; 1043; 1006
15.0; 1281; 999; 997
15.1; 1269; 1004; 1044
15.2; 1266; 998; 1030
15.3; 1264; 981; 998
15.4; 1290; 1014; 991
15.5; 1261; 1032; 992
15.6; 1262; 1011; 976
15.7; 1290; 1028; 1027
15.8; 1271; 1033; 1036
15.9; 1265; 1024; 994
16.0; 1295; 1002; 984
16.1; 1297; 1018; 1025
16.2; 1271; 1044; 1030
16.3; 1285; 1038; 1025
16.4; 1248; 975; 991
16.5; 1279; 1006; 1003
16.6; 1292; 994; 1021
16.7; 1283; 1020; 1011
16.8; 1262; 1008; 1023
16.9; 1271; 1020; 988
17.0; 1277; 1014; 1002
17.1; 1293; 1020; 992
17.2; 1279; 1012; 991
17.3; 1283; 1022; 1003
17.4; 1276; 989; 999
17.5; 1292; 988; 1019
17.6; 1291; 994; 1016
17.7; 1269; 1024; 1040
17.8; 1258; 1038; 1002
17.9; 1276; 997; 967
18.0; 1281; 1015; 990
18.1; 1277; 1007; 1000
18.2; 1251; 1011; 995
18.3; 1278; 1004; 987
18.4; 1286; 994; 1041
18.5; 1291; 1028; 1031
18.6; 1284; 1018; 1010
18.7; 1275; 994; 1022
18.8; 1249; 1007; 1033
18.9; 1265; 1018; 1000
19.0; 1277; 990; 996
19.1; 1277; 991; 975
19.2; 1260; 1042; 1035
19.3; 1262; 1011; 980
19.4; 1269; 1030; 1001
19.5; 1280; 1008; 992
19.6; 1263; 1036; 1004
19.7; 1273; 1037; 999
19.8; 1271; 1029; 988
19.9; 1279; 1004; 1037
20.0; 1255; 1044; 1020
20.1; 1256; 1003; 1007
20.2; 1270; 1022; 1003
20.3; 1291; 1002; 977
20.4; 1268; 1041; 993
20.5; 1261; 1008; 992
20.6; 1291; 1020; 972
20.7; 1293; 1031; 975
20.8; 1281; 992; 1036
20.9; 1267; 993; 988
21.0; 1258; 1035; 1036
21.1; 1300; 982; 1013
21.2; 1272; 1006; 1003
21.3; 1269; 1000; 999
21.4; 1278; 1006; 989
21.5; 1287; 998; 981
21.6; 1255; 1000; 1016
21.7; 1267; 988; 992
21.8; 1297; 1029; 995
21.9; 1284; 994; 990
22.0; 1274; 1038; 993
22.1; 1281; 1018; 985
22.2; 1285; 985; 987
22.3; 1257; 971; 992
22.4; 1271; 1015; 980
22.5; 1262; 1032; 978
22.6; 1261; 1007; 1007
22.7; 1287; 987; 1003
22.8; 1282; 1035; 976
22.9; 1284; 1022; 1017
23.0; 1295; 992; 889
23.1; 1265; 989; 935
23.2; 1277; 1010; 937
23.3; 1278; 1002; 922
23.4; 1255; 990; 900
23.5; 1301; 1012; 918
23.6; 1281; 972; 1007
23.7; 1268; 994; 973
23.8; 1279; 1010; 1021
23.9; 1273; 986; 985
24.0; 1297; 1002; 1011
24.1; 1287; 1020; 988
24.2; 1264; 1007; 1029
24.3; 1263; 1024; 1020
24.4; 1289; 1028; 991
24.5; 1287; 1005; 999
24.6; 1265; 996; 1001
24.7; 1255; 1030; 997
24.8; 1293; 1002; 1032
24.9; 1272; 1030; 988
25.0; 1262; 1021; 1026
25.1; 1304; 1054; 1028
25.2; 1273; 1025; 980
25.3; 1265; 1028; 972
25.4; 1295; 983; 1020
25.5; 1265; 1023; 1011
25.6; 1268; 1022; 972
25.7; 1275; 1028; 1010
25.8; 1273; 978; 977
25.9; 1292; 1040; 997
26.0; 1271; 1041; 1032
26.1; 1257; 992; 1007
26.2; 1265; 988; 1004
26.3; 1280; 1025; 1012
26.4; 1265; 998; 973
26.5; 1278; 995; 989
26.6; 1256; 1012; 985
26.7; 1277; 1014; 979
26.8; 1275; 1040; 986
26.9; 1275; 1010; 1042
27.0; 1255; 1041; 991
27.1; 1288; 975; 976
27.2; 1255; 1038; 995
27.3; 1296; 1037; 997
27.4; 1265; 1019; 991
27.5; 1265; 1012; 1017
27.6; 1277; 1008; 1017
27.7; 1270; 1000; 998
27.8; 1271; 996; 1015
27.9; 1279; 1041; 984
28.0; 1293; 1046; 1027
28.1; 1281; 997; 1019
28.2; 1282; 1030; 1021
28.3; 1287; 1026; 987
28.4; 1269; 1014; 997
28.5; 1262; 1016; 1021
28.6; 1285; 1006; 1024
28.7; 1285; 1003; 976
28.8; 1268; 1009; 1032
28.9; 1277; 992; 984
29.0; 1250; 1011; 1030
29.1; 1272; 1051; 989
29.2; 1264; 997; 1017
29.3; 1266; 984; 996
29.4; 1249; 984; 991
29.5; 1286; 994; 980
29.6; 1273; 1053; 986
29.7; 1271; 1029; 1021
29.8; 1261; 1022; 1016
29.9; 1280; 988; 1006
30.0; 1281; 1047; 999
30.1; 1290; 1016; 1015
30.2; 1279; 1026; 993
30.3; 1280; 1034; 1034
30.4; 1274; 996; 996
30.5; 1254; 994; 1020
30.6; 1259; 991; 1005
30.7; 1259; 994; 991
30.8; 1261; 991; 988
30.9; 1257; 1018; 1007
31.0; 1262; 999; 988
31.1; 1281; 1010; 1023
31.2; 1272; 983; 997
31.3; 1288; 1038; 1038
31.4; 1261; 1006; 996
31.5; 1265; 1002; 998
31.6; 1261; 988; 1014
31.7; 1267; 1013; 1018
31.8; 1285; 1011; 985
31.9; 1272; 987; 995
32.0; 1288; 990; 1003
32.1; 1271; 1045; 995
32.2; 1278; 1042; 991
32.3; 1266; 992; 1005
32.4; 1259; 1013; 1004
32.5; 1276; 1042; 1003
32.6; 1263; 1038; 1027
32.7; 1288; 1056; 999
