Data: 2018-5-30
Czas: 14.37.57
$$$ DANE POMIAROWE PROCESU $$$
Wypelnienie PWM: 001
Czas zgrzewania: 022
-
t [ms]; I [A]; U [V]; F [kN]
0.1; 1283; 990; 902
0.2; 4089; 1015; 1002
0.3; 4092; 1032; 1019
0.4; 4093; 983; 977
0.5; 4093; 994; 992
0.6; 4092; 1013; 1007
0.7; 4093; 987; 1024
0.8; 4093; 973; 1018
0.9; 4093; 991; 985
1.0; 4092; 987; 981
1.1; 4091; 1000; 1035
1.2; 4093; 1010; 998
1.3; 4093; 995; 1012
1.4; 4093; 1001; 1000
1.5; 4093; 1006; 1035
1.6; 4094; 1021; 1030
1.7; 4093; 991; 1010
1.8; 4093; 1017; 988
1.9; 4092; 1015; 988
2.0; 4091; 977; 995
2.1; 4094; 980; 1001
2.2; 4095; 993; 1020
2.3; 4093; 994; 1012
2.4; 4093; 991; 1048
2.5; 4093; 1027; 1000
2.6; 4093; 981; 975
2.7; 4094; 999; 1028
2.8; 4093; 988; 976
2.9; 4091; 980; 1003
3.0; 4093; 1024; 987
3.1; 4094; 986; 1003
3.2; 4093; 1026; 1027
3.3; 4094; 1010; 1017
3.4; 4093; 1006; 1019
3.5; 4095; 982; 977
3.6; 4094; 1047; 999
3.7; 4093; 1037; 1040
3.8; 4091; 1030; 982
3.9; 4093; 1002; 983
4.0; 4095; 981; 994
4.1; 4093; 1001; 996
4.2; 4094; 982; 998
4.3; 4092; 1042; 1033
4.4; 4093; 1003; 989
4.5; 4095; 995; 1040
4.6; 4092; 1007; 1002
4.7; 4093; 986; 975
4.8; 4093; 992; 1026
4.9; 4093; 993; 1024
5.0; 4093; 993; 985
5.1; 4095; 996; 1019
5.2; 4093; 1026; 1000
5.3; 4093; 995; 994
5.4; 4093; 1009; 991
5.5; 4093; 1007; 1012
5.6; 4089; 1038; 979
5.7; 4092; 1025; 1001
5.8; 4093; 1016; 1012
5.9; 4092; 1019; 1028
6.0; 4095; 1007; 1013
6.1; 4095; 1032; 1013
6.2; 4093; 985; 1001
6.3; 4093; 998; 1029
6.4; 4092; 1003; 1037
6.5; 4089; 1039; 996
6.6; 4092; 1008; 1018
6.7; 4094; 1015; 1003
6.8; 4093; 1021; 1037
6.9; 4091; 1002; 1016
7.0; 4093; 1025; 1013
7.1; 4093; 991; 997
7.2; 4092; 999; 1012
7.3; 4093; 1007; 997
7.4; 4093; 986; 1012
7.5; 4093; 1013; 1039
7.6; 4093; 997; 1017
7.7; 4093; 999; 996
7.8; 4093; 998; 1038
7.9; 4093; 988; 1009
8.0; 4093; 999; 1026
8.1; 4093; 1033; 988
8.2; 4093; 986; 999
8.3; 4091; 983; 983
8.4; 4095; 994; 1011
8.5; 4094; 1005; 1007
8.6; 4093; 1024; 1046
8.7; 4094; 975; 980
8.8; 4093; 1039; 990
8.9; 4094; 998; 1005
9.0; 4094; 1003; 1005
9.1; 4092; 997; 1012
9.2; 4090; 1013; 1010
9.3; 4093; 1011; 995
9.4; 4093; 1027; 1028
9.5; 4092; 1013; 999
9.6; 4094; 1012; 981
9.7; 4087; 1003; 1033
9.8; 4094; 977; 1001
9.9; 4093; 1013; 982
10.0; 4094; 983; 1009
10.1; 4090; 995; 998
10.2; 4093; 994; 1011
10.3; 4093; 1005; 982
10.4; 4093; 1042; 1020
10.5; 4094; 979; 1021
10.6; 4093; 1036; 1029
10.7; 4093; 1018; 1049
10.8; 4093; 979; 980
10.9; 4079; 997; 1015
11.0; 4093; 975; 1031
11.1; 4093; 983; 999
11.2; 4093; 1007; 993
11.3; 4093; 987; 981
11.4; 4093; 1022; 1013
11.5; 4091; 993; 984
11.6; 4093; 1021; 1016
11.7; 4092; 1013; 1021
11.8; 4093; 1033; 998
11.9; 4091; 996; 1013
12.0; 4093; 1024; 992
12.1; 4095; 1003; 1036
12.2; 4093; 1016; 1015
12.3; 4093; 1034; 1037
12.4; 4094; 985; 977
12.5; 4092; 1045; 998
12.6; 4093; 1003; 1037
12.7; 4092; 1028; 1011
12.8; 4089; 997; 1000
12.9; 4093; 1016; 1000
13.0; 4093; 1003; 1006
13.1; 4093; 1024; 1007
13.2; 4093; 992; 1009
13.3; 4093; 1019; 1008
13.4; 4093; 1001; 996
13.5; 4093; 1026; 999
13.6; 4094; 1009; 1028
13.7; 4091; 986; 994
13.8; 4093; 1026; 1018
13.9; 4093; 1039; 1031
14.0; 4093; 1032; 984
14.1; 4095; 999; 1003
14.2; 4092; 1019; 989
14.3; 4093; 1026; 1027
14.4; 4092; 995; 1018
14.5; 4094; 997; 988
14.6; 4089; 1010; 980
14.7; 4093; 1010; 983
14.8; 4093; 1008; 1014
14.9; 4093; 1018; 996
15.0; 4093; 996; 998
15.1; 4093; 988; 1025
15.2; 4093; 1003; 1008
15.3; 4092; 997; 999
15.4; 4092; 1001; 1015
15.5; 4089; 1019; 1000
15.6; 4094; 1016; 1043
15.7; 4093; 1033; 1010
15.8; 4093; 1014; 984
15.9; 4094; 980; 985
16.0; 4093; 991; 986
16.1; 4092; 981; 982
16.2; 4092; 1017; 989
16.3; 4092; 1007; 1032
16.4; 4089; 1034; 1027
16.5; 4092; 1030; 1030
16.6; 4093; 987; 1016
16.7; 4093; 998; 1005
16.8; 4093; 1026; 1009
16.9; 4093; 973; 1005
17.0; 4094; 1004; 1004
17.1; 4093; 985; 996
17.2; 4093; 989; 1017
17.3; 4089; 1015; 1007
17.4; 4093; 1042; 1027
17.5; 4093; 995; 983
17.6; 4093; 1017; 986
17.7; 4092; 994; 997
17.8; 4093; 1024; 1017
17.9; 4093; 1049; 997
18.0; 4093; 1001; 1038
18.1; 4092; 1029; 1030
18.2; 4089; 1006; 998
18.3; 4093; 992; 995
18.4; 4093; 1032; 982
18.5; 4092; 1027; 1029
18.6; 4093; 1028; 1017
18.7; 4093; 989; 1015
18.8; 4093; 981; 1005
18.9; 4094; 993; 1013
19.0; 4092; 993; 1039
19.1; 4087; 1029; 998
19.2; 4092; 1009; 979
19.3; 4091; 977; 1018
19.4; 4092; 991; 1025
19.5; 4093; 996; 1007
19.6; 4093; 1001; 985
19.7; 4093; 988; 1002
19.8; 4093; 1011; 985
19.9; 4093; 1029; 1008
20.0; 4088; 1015; 982
20.1; 4092; 995; 1013
20.2; 4092; 1008; 996
20.3; 4089; 987; 1021
20.4; 4091; 975; 985
20.5; 4093; 1037; 1001
20.6; 4092; 1013; 989
20.7; 4092; 1001; 990
20.8; 4092; 1019; 1006
20.9; 4091; 998; 997
21.0; 4092; 1025; 1003
21.1; 4093; 986; 999
21.2; 4093; 1022; 1028
21.3; 4093; 1006; 1049
