Data: 2018-5-30
Czas: 14.36.10
$$$ DANE POMIAROWE PROCESU $$$
Wypelnienie PWM: 001
Czas zgrzewania: 022
-
t [ms]; I [A]; U [V]; F [kN]
0.1; 1276; 987; 981
0.2; 1284; 1015; 1010
0.3; 1257; 1039; 992
0.4; 1300; 1011; 994
0.5; 1265; 1021; 1007
0.6; 1277; 1000; 1018
0.7; 1256; 1017; 1038
0.8; 1280; 999; 983
0.9; 1258; 1015; 981
1.0; 1261; 1007; 1017
1.1; 1278; 993; 1024
1.2; 1276; 1010; 989
1.3; 1281; 1026; 1011
1.4; 1297; 1000; 1003
1.5; 1289; 1037; 1027
1.6; 1256; 1012; 1007
1.7; 1272; 985; 999
1.8; 1262; 993; 1002
1.9; 1261; 1035; 1026
2.0; 1265; 989; 995
2.1; 1273; 986; 989
2.2; 1260; 983; 993
2.3; 1248; 983; 989
2.4; 1288; 1029; 996
2.5; 1273; 1006; 985
2.6; 1277; 1018; 1000
2.7; 1273; 997; 995
2.8; 1249; 978; 975
2.9; 1278; 1011; 991
3.0; 1280; 1007; 1047
3.1; 1250; 1027; 988
3.2; 1289; 976; 1020
3.3; 1283; 1011; 1015
3.4; 1275; 1017; 999
3.5; 1271; 1016; 1014
3.6; 1264; 1004; 1016
3.7; 1271; 1010; 936
3.8; 1255; 895; 884
3.9; 1258; 907; 925
4.0; 1292; 902; 889
4.1; 1282; 892; 878
4.2; 1270; 929; 915
4.3; 1278; 917; 897
4.4; 1252; 909; 928
4.5; 1267; 943; 907
4.6; 1272; 1002; 929
4.7; 1293; 983; 925
4.8; 1271; 1016; 925
4.9; 1258; 983; 918
5.0; 1247; 984; 899
5.1; 1275; 993; 899
5.2; 1258; 1012; 892
5.3; 1272; 1002; 926
5.4; 1266; 985; 915
5.5; 1256; 1026; 985
5.6; 1281; 986; 1032
5.7; 1252; 1011; 993
5.8; 1272; 1009; 1014
5.9; 1265; 1001; 998
6.0; 1273; 1007; 999
6.1; 1268; 989; 1029
6.2; 1276; 1027; 1017
6.3; 1268; 995; 976
6.4; 1265; 982; 1021
6.5; 1272; 1011; 1033
6.6; 1278; 1002; 956
6.7; 1252; 983; 895
6.8; 1245; 985; 891
6.9; 1251; 1019; 898
7.0; 1276; 975; 912
7.1; 1278; 1025; 906
7.2; 1261; 999; 885
7.3; 1270; 908; 920
7.4; 1264; 882; 927
7.5; 1286; 887; 914
7.6; 1250; 902; 894
7.7; 1272; 926; 901
7.8; 1255; 933; 910
7.9; 1250; 925; 945
8.0; 1285; 929; 928
8.1; 1255; 893; 923
8.2; 1267; 921; 934
8.3; 1287; 916; 937
8.4; 1275; 943; 900
8.5; 1265; 920; 910
8.6; 1269; 918; 934
8.7; 1267; 907; 906
8.8; 1286; 917; 931
8.9; 1268; 930; 937
9.0; 1290; 925; 894
9.1; 1259; 922; 901
9.2; 1269; 899; 907
9.3; 1266; 911; 899
9.4; 1252; 914; 948
9.5; 1270; 926; 907
9.6; 1285; 893; 902
9.7; 1282; 925; 914
9.8; 1294; 930; 917
9.9; 1267; 905; 909
10.0; 1270; 919; 908
10.1; 1263; 894; 913
10.2; 1286; 898; 935
10.3; 1249; 907; 929
10.4; 1270; 888; 932
10.5; 1297; 927; 918
10.6; 1278; 933; 918
10.7; 1288; 927; 884
10.8; 1259; 937; 929
10.9; 1280; 895; 915
11.0; 1268; 899; 910
11.1; 1281; 901; 920
